_id,text
ObjectId(5cafae6572d50143e4a9b34b),Check out this NYC @PlasticsBeyond event on 4/29 with @enckj @CafeteriaCu @bradlander ✨
ObjectId(5cafae6672d50143e4a9b34e),"RT @Anothergreen: 'Politics is broken, lets break the climate too' @TheIndGroup support #Heathrow expansion and none of their MPs turned up…"
ObjectId(5cafae6a72d50143e4a9b351),"RT @archinect: Investigating the hidden air pollution in our everyday indoor spaces #pollution @davidgissen 

https://t.co/gKhA9S5zKK https…"
ObjectId(5cafae6d72d50143e4a9b354),RT @sebrioux: Victoire! #Monsanto: la justice donne de nouveau raison à l'agriculteur français Paul François https://t.co/G2VF5G4Ki5 - #Env…
ObjectId(5cafae6f72d50143e4a9b357),RT @UKMercer: #ClimateChange @mercer's new report shows how #investors may prepare their portfolios for three different climate change scen…
ObjectId(5cafae6f72d50143e4a9b35a),"RT @EJinAction: 700 amazing leaders at City High Middle using their power to fight for #socialjustice, #civilrights, #climatechange &amp; #envi…"
ObjectId(5cafae7372d50143e4a9b35d),"RT @ArchKennedy: It’s time for us all to recognize the 97% con game. 

Also, the climate changes constantly, but there is no way to know ho…"
ObjectId(5cafae7572d50143e4a9b360),#davidbernhardt #climatechange #TrumpsGottaGo
ObjectId(5cafae7a72d50143e4a9b363),"RT @reconsideredco: This is big — a collective of 4,520 @Amazon employees just published an open letter to @JeffBezos and the Board of Dire…"
ObjectId(5cafae7f72d50143e4a9b366),"RT @DSP_SPE: 🗞️Put a Spring in your Step with #SPEThursday! #ThisWeekInSciPol👉https://t.co/xyIsmJYDdA 
Honourable @cathmckenna @SohiAmarjee…"
ObjectId(5cafae8072d50143e4a9b369),"RT @UNFCCC: Chile's President @sebastianpinera: ""#COP25 is so important. Our children and grandchildren will judge us by our capacity to ch…"
ObjectId(5cafae8572d50143e4a9b36c),"RT @affluencekana: ジュゴンとウミガメがいっしょに泳ぐ姿

どちらも生態系を守る大切な生き物

こんな海をなくしたくない

#エコシステム #沖縄ジュゴン #地球温暖化 #絶滅危惧種
#英語 #リーダーシップ #環境保護
#Dugong #seaturtle…"
ObjectId(5cafae8672d50143e4a9b36f),"RT @Anothergreen: 'Politics is broken, lets break the climate too' @TheIndGroup support #Heathrow expansion and none of their MPs turned up…"
